"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 13 18:58:45 GMT 2024","Thu Jun 13 18:58:50 GMT 2024","5019","Crossbrowser Test Suite","Firefox test","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProductDrivenBackpack","testProductDrivenBackpack",""
"passed","Thu Jun 13 18:58:42 GMT 2024","Thu Jun 13 18:58:43 GMT 2024","1504","Crossbrowser Test Suite","Firefox test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Luma Base URL","To verify that the base URL and title of the application are correct and as expected"
"passed","Thu Jun 13 18:58:21 GMT 2024","Thu Jun 13 18:58:26 GMT 2024","4893","Crossbrowser Test Suite","Chrome test","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProductDrivenBackpack","testProductDrivenBackpack",""
"passed","Thu Jun 13 18:58:23 GMT 2024","Thu Jun 13 18:58:27 GMT 2024","3577","Crossbrowser Test Suite","Firefox test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 18:58:17 GMT 2024","Thu Jun 13 18:58:20 GMT 2024","2951","Crossbrowser Test Suite","Firefox test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 18:58:06 GMT 2024","Thu Jun 13 18:58:08 GMT 2024","2263","Crossbrowser Test Suite","Chrome test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 18:58:17 GMT 2024","Thu Jun 13 18:58:19 GMT 2024","1873","Crossbrowser Test Suite","Chrome test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 18:58:13 GMT 2024","Thu Jun 13 18:58:15 GMT 2024","2087","Crossbrowser Test Suite","Chrome test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 18:58:09 GMT 2024","Thu Jun 13 18:58:11 GMT 2024","1993","Crossbrowser Test Suite","Chrome test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 18:58:33 GMT 2024","Thu Jun 13 18:58:35 GMT 2024","2061","Crossbrowser Test Suite","Firefox test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 18:58:29 GMT 2024","Thu Jun 13 18:58:31 GMT 2024","2164","Crossbrowser Test Suite","Firefox test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 18:58:15 GMT 2024","Thu Jun 13 18:58:17 GMT 2024","1941","Crossbrowser Test Suite","Chrome test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 18:58:11 GMT 2024","Thu Jun 13 18:58:13 GMT 2024","1759","Crossbrowser Test Suite","Chrome test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 18:58:19 GMT 2024","Thu Jun 13 18:58:21 GMT 2024","1274","Crossbrowser Test Suite","Chrome test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Luma Base URL","To verify that the base URL and title of the application are correct and as expected"
"passed","Thu Jun 13 18:58:37 GMT 2024","Thu Jun 13 18:58:39 GMT 2024","2089","Crossbrowser Test Suite","Firefox test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 18:58:12 GMT 2024","Thu Jun 13 18:58:15 GMT 2024","2295","Crossbrowser Test Suite","Firefox test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
